event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
UKR209583,2025-02-17,2025,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Russia (2000-) Air Force,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Zaporizhia,Vasylivskyi,Stepnohirska,Pyatykhatky,47.5079,35.4622,2,Institute for the Study of War; Suspilne Media,Other-National,"On 17 February 2025, Russian Forces, supported by air force, launched assault actions on Ukrainian positions near Pyatykhatky, Zaporizhia. Casualties unknown.",0,,1740519999
UKR209584,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Sumy,Sumskyi,Richkivska,Richky,51.1197,34.4947,1,Ministry of Defence of Ukraine,Other,"On 17 February 2025, Russian Forces launched suspected drone strikes at Richky, Sumy. Casualties unknown.",0,,1740519999
UKR209585,2025-02-17,2025,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Donetsk,Volnovaskyi,Velykonovosilkivska,Rivnopil,47.7868,36.7004,2,Institute for the Study of War; Ministry of Defence of Ukraine,Other,"On 17 February 2025, Russian Forces launched assault actions on Ukrainian positions near Rivnopil, Donetsk. Casualties unknown.",0,,1740519999
UKR209586,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Kherson,Khersonskyi,Bilozerska,Romashkove,46.5989,32.4361,1,Suspilne Media,National,"On 17 February 2025, Russian Forces struck (likely by shelling as the most common event) Romashkove, Kherson. Casualties unknown.",0,,1740519999
UKR209587,2025-02-17,2025,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Donetsk,Volnovaskyi,Velykonovosilkivska,Rozlyv,47.972,36.9995,2,Ministry of Defence of Russia,Regional,"On 17 February 2025, Russian Forces clashed with Ukrainian Forces near Rozlyv, Donetsk. According to Russian sources, 175 Ukrainian soldiers, including from the territorial defense units (coded to Novosilka) were killed in the area of Novosilka, Kostiantynopil, Burlatske, Huliaipole, Rozlyv and Novopil [Russian MoD reported 175 fatalities. Coded as 10 fatalities split across 6 events. 1 fatality coded to this event].",1,,1740519999
UKR209588,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Chernihiv,Chernihivskyi,Desnianska,Rudnya,51.0649,30.845,1,Ministry of Defence of Ukraine,Other,"On 17 February 2025, Russian Forces launched a suspected drone strike at Rudnya, Chernihiv. Casualties unknown.",0,,1740519999
UKR209589,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Kherson,Beryslavskyi,Mylivska,Sablukivka,47.1221,33.7705,1,Suspilne Media,National,"On 17 February 2025, Russian Forces struck (likely by shelling as the most common event) Sablukivka, Kherson. Casualties unknown.",0,,1740519999
UKR209590,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Kherson,Khersonskyi,Khersonska,Sadove,46.7048,32.8225,1,Suspilne Media,National,"On 17 February 2025, Russian Forces struck (likely by shelling as the most common event) Sadove, Kherson. Casualties unknown.",0,,1740519999
UKR209592,2025-02-17,2025,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Donetsk,Bakhmutskyi,Siverska,Serebrianka,48.9211,38.1276,2,Institute for the Study of War,Other,"On 17 February 2025, Russian Forces launched assault actions on Ukrainian positions near Serebrianka, Donetsk. Casualties unknown.",0,,1740519999
UKR209593,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Sumy,Shostkynskyi,Shalyhynska,Shalyhyne,51.5717,34.1217,1,Ministry of Defence of Ukraine,Other,"On 17 February 2025, Russian Forces shelled Shalyhyne, Sumy, with suspected 120mm mortars. Casualties unknown.",0,,1740519999
UKR209594,2025-02-17,2025,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Russia (2000-) Air Force,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Zaporizhia,Polohivskyi,Orikhivska,Shcherbaky,47.5514,35.5816,2,Institute for the Study of War; Suspilne Media,Other-National,"On 17 February 2025, Russian Forces, supported by air force, launched assault actions on Ukrainian positions near Shcherbaky, Zaporizhia. Casualties unknown.",0,,1740519999
UKR209595,2025-02-17,2025,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Donetsk,Bakhmutskyi,Toretska,Shcherbynivka,48.3943,37.7901,2,Institute for the Study of War; Ministry of Defence of Ukraine,Other,"On 17 February 2025, Russian Forces launched assault actions on Ukrainian positions near Shcherbynivka, Donetsk. Casualties unknown.",0,,1740519999
UKR209596,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Kherson,Khersonskyi,Stanislavska,Shyroka Balka,46.5881,32.1952,1,Suspilne Media,National,"On 17 February 2025, Russian Forces struck (likely by shelling as the most common event) Shyroka Balka, Kherson. Casualties unknown.",0,,1740519999
UKR209597,2025-02-17,2025,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Donetsk,Bakhmutskyi,Siverska,Siversk,48.8726,38.096,2,Ministry of Defence of Russia,Regional,"On 17 February 2025, Russian Forces clashed with Ukrainian Forces near Siversk, Donetsk. According to Russian sources, 210 Ukrainian soldiers, including from the territorial defense units (coded to Chasiv Yar) were killed in the area of Chasiv Yar, Ulakly, Kostiantynivka, Ivanopillia and Siversk [Russian MoD reported 210 fatalities. Coded as 10 fatalities split across 5 events. 2 fatalities coded to this event].",2,,1740519999
UKR209598,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Sumy,Sumskyi,Krasnopilska,Slavhorod,50.5889,35.3551,1,Ministry of Defence of Ukraine,Other,"On 17 February 2025, Russian Forces launched drone strikes, including with suspected FPV drones, at Slavhorod, Sumy. Casualties unknown.",0,,1740519999
UKR209599,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Kherson,Khersonskyi,Stanislavska,Sofiivka,46.5961,32.2539,1,Suspilne Media,National,"On 17 February 2025, Russian Forces struck (likely by shelling as the most common event) Sofiivka, Kherson. Casualties unknown.",0,,1740519999
UKR209600,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Kherson,Khersonskyi,Stanislavska,Stanislav,46.579,32.1496,1,Suspilne Media,National,"On 17 February 2025, Russian Forces struck (likely by shelling as the most common event) Stanislav, Kherson. Casualties unknown.",0,,1740519999
UKR209601,2025-02-17,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Sumy,Shostkynskyi,Shalyhynska,Starykove,51.6209,34.1471,1,Ministry of Defence of Ukraine,Other,"On 17 February 2025, Russian Forces launched suspected FPV drone strikes and shelled Starykove, Sumy, with suspected 82mm, 120mm mortars and 122mm artillery. Casualties unknown.",0,,1740519999
UKR209604,2025-02-17,2025,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Donetsk,Kramatorskyi,Kostiantynivska,Stupochky,48.5365,37.827,2,Institute for the Study of War; WarGonzo,Other-National,"On 17 February 2025, Russian Forces launched assault actions on Ukrainian positions near Stupochky, Donetsk. Casualties unknown.",0,,1740519999
